side,alert_time,price,low_window_time,low_window_price,low_so_far_time,low_so_far_price,movement_pct,slope_pct_per_min,macd_hist_last,reason
BUY,2026-02-09 09:40:00 CST,5000.47143,2026-02-09 09:37:00 CST,4991.29586,2026-02-09 09:37:00 CST,4991.29586,0.1838314188812567,0.005122497020244228,,低位提前：score=88.8/阈值80.0，分位q20/q35=5016.9549/5024.9397，低点距今3.0min<=阈值15，距会话参考低点0.184%<=阈值0.200%=True，距全局低点0.184%(评分锚值0.600%，打分锚点=全局低点:0.184%)，近全局低点(0.100%)False，高周期斜率0.0051%/min，组件[低分位8.0+近全局0.0+停跌10.0+微反弹12.0+反弹上限8.0+时效10.0+斜率20.0-新低惩罚0.0-下跌短斜率惩罚0.0]
SELL,2026-02-09 13:53:00 CST,5043.73334,2026-02-09 13:43:00 CST,5045.70356,2026-02-09 09:02:00 CST,5047.51257,0.039047478247020796,0.010030228917690726,,高位提前：score=98.3/阈值90.0，分位q60/q80=5026.5555/5030.4035，高点距今10.0min<=阈值15，距会话高点0.075%<=阈值0.200%=True，距全局高点0.075%(评分锚值0.600%)，近全局高点(0.100%)True，组件[高分位8.0+近全局10.0+停涨10.0+微回撤9.4+回撤上限8.0+时效10.0+斜率16.6-新高惩罚0.0]
SELL,2026-02-09 14:16:00 CST,5045.01281,2026-02-09 14:04:00 CST,5051.88986,2026-02-09 14:04:00 CST,5051.88986,0.1361282646807358,-0.00010305226558785087,,高位提前：score=91.2/阈值90.0，分位q60/q80=5027.2225/5033.1293，高点距今12.0min<=阈值15，距会话高点0.136%<=阈值0.200%=True，距全局高点0.136%(评分锚值0.600%)，近全局高点(0.100%)False，组件[高分位8.0+近全局0.0+停涨10.0+微回撤12.0+回撤上限8.0+时效10.0+斜率20.0-新高惩罚0.0]
