side,alert_time,price,low_window_time,low_window_price,low_so_far_time,low_so_far_price,movement_pct,slope_pct_per_min,macd_hist_last,reason
BUY,2026-02-03 10:41:00 CST,4773.84786,2026-02-03 10:33:00 CST,4766.59043,2026-02-03 10:33:00 CST,4766.59043,0.152256211364895,0.022556395418933436,,低位提前：score=90.4/阈值80.0，分位q20/q35=4783.7714/4803.3959，低点距今8.0min<=阈值15，距会话参考低点0.152%<=阈值0.200%=True，距全局低点0.152%(评分锚值0.600%，打分锚点=全局低点:0.152%)，近全局低点(0.100%)False，高周期斜率0.0226%/min，组件[低分位8.0+近全局0.0+停跌10.0+微反弹12.0+反弹上限8.0+时效10.0+斜率20.0-新低惩罚0.0-下跌短斜率惩罚0.0]
BUY,2026-02-03 10:50:00 CST,4757.42287,2026-02-03 10:47:00 CST,4751.12823,2026-02-03 10:47:00 CST,4751.12823,0.13248726818724638,0.020449916406109235,,低位提前：score=91.4/阈值80.0，分位q20/q35=4777.1162/4795.6143，低点距今3.0min<=阈值15，距会话参考低点0.132%<=阈值0.200%=True，距全局低点0.132%(评分锚值0.600%，打分锚点=全局低点:0.132%)，近全局低点(0.100%)False，高周期斜率0.0204%/min，组件[低分位8.0+近全局0.0+停跌10.0+微反弹12.0+反弹上限8.0+时效10.0+斜率20.0-新低惩罚0.0-下跌短斜率惩罚0.0]
SELL,2026-02-03 16:24:00 CST,4936.7104,2026-02-03 16:19:00 CST,4939.54721,2026-02-03 16:19:00 CST,4939.54721,0.05743056760864093,-0.00024498094925679925,,高位提前：score=105.1/阈值90.0，分位q60/q80=4858.8270/4892.2147，高点距今5.0min<=阈值15，距会话高点0.057%<=阈值0.200%=True，距全局高点0.057%(评分锚值0.600%)，近全局高点(0.100%)True，组件[高分位8.0+近全局10.0+停涨10.0+微回撤12.0+回撤上限8.0+时效10.0+斜率20.0-新高惩罚0.0]
