side,alert_time,price,low_window_time,low_window_price,low_so_far_time,low_so_far_price,movement_pct,slope_pct_per_min,macd_hist_last,reason
BUY,2026-02-06 09:24:00 CST,4709.43726,2026-02-06 09:02:00 CST,4705.61358,2026-02-06 09:02:00 CST,4705.61358,0.08125784098063388,-0.056780329631148325,,开盘抢底：score=79.3/阈值80.0，分位q20/q35=4719.0414/4730.2693，低点距今22.0min<=阈值15，距会话参考低点0.081%<=阈值0.200%=True，距全局低点0.081%(评分锚值0.600%，打分锚点=全局低点:0.081%)，近全局低点(0.100%)True，高周期斜率-0.0568%/min，组件[低分位8.0+近全局10.0+停跌10.0+微反弹12.0+反弹上限8.0+时效5.3+斜率0.0-新低惩罚0.0-下跌短斜率惩罚0.0]
SELL,2026-02-06 20:14:00 CST,4896.02545,2026-02-06 20:09:00 CST,4902.04267,2026-02-06 20:09:00 CST,4902.04267,0.12274923751326149,0.005983833274397284,,高位提前：score=91.2/阈值90.0，分位q60/q80=4869.8596/4882.4089，高点距今5.0min<=阈值15，距会话高点0.123%<=阈值0.200%=True，距全局高点0.123%(评分锚值0.600%)，近全局高点(0.100%)False，组件[高分位8.0+近全局0.0+停涨10.0+微回撤12.0+回撤上限8.0+时效10.0+斜率19.3-新高惩罚0.0]
SELL,2026-02-06 21:53:00 CST,4929.23136,2026-02-06 21:44:00 CST,4934.98361,2026-02-06 21:44:00 CST,4934.98361,0.11656067080637088,-0.012855838034754432,,高位提前：score=92.2/阈值90.0，分位q60/q80=4886.8604/4899.6927，高点距今9.0min<=阈值15，距会话高点0.117%<=阈值0.200%=True，距全局高点0.117%(评分锚值0.600%)，近全局高点(0.100%)False，组件[高分位8.0+近全局0.0+停涨10.0+微回撤12.0+回撤上限8.0+时效10.0+斜率20.0-新高惩罚0.0]
